ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,Lufthansa airline lost the walker/stroller/walker for my disabled teenage son. My son has not been able to walk for 24 hours because he has a motor disability and cannot walk with any walker,True,social,Cv91g41IuH6,0
2,"Help ! ! we are receiving the treatment of rats, on the floor without information. there is not a single person knowing that the flight was canceled who has stayed to help us. We were inside the plane for more than 3 hours locked on the runway.",False,social,Cv91g41IuH6,0
3,"if anyone is considering flying, lufthansa DONT! They regularly cancel flights without notice and do absolutely nothing about rebooking your flight....",False,social,Cv91g41IuH6,19
4,"The worst experience with an airline, my suitcases are lost and they are not responsible other than to say that you have to wait. I never travel with you again.",False,social,Cv91g41IuH6,6
5,DON‘T FLY WITH LUFTHANSA!!! Rekordgewinne einstreichen und die Kunden verarschen.,False,social,Cv91g41IuH6,0
6,"Hey! Olympian here, 5 days without my luggage! I compete for team USA and will be competing in 2 days without my luggage.",False,social,Cv91g41IuH6,0
7,"please I need your help, im extremely desperate… flying from Budapest to Madrid, connection in Frankfurt, the flight Budapest/Frankfurt was super late cause (as the pilot said) “no one was expecting us” so the finger was super slow and late, we almost missed the connection to Madrid but we arrived on time. Took the flight to Madrid and the moment I arrived, they said the suitcase was left in Frankfurt (no one asked me) and in 24/48 at home. The rains and the chaos in Frankfurt… been calling and they told me they are rescheduling my suitcase in different flights but everyone lied to me, can someone tell me something? I need my personal things with me and im having anxiety attacks",False,social,Cv91g41IuH6,0
8,Please don’t book the ticket when it comes to transit.,False,social,Cv91g41IuH6,0
9,"Lufthansa, the airline that cheats you",False,social,Cv91g41IuH6,16
10,Worst worst customer service ever! My Schengen visa was only give by embassy for certain period but Lufthansa wants reason from embassy in order to give a refund. If I can contact embassy wouldn’t I ask for an extension? Looks like they are catering only for US passport holders!,False,social,Cv91g41IuH6,9
11,"Third day without my luggage, a flight from Nuremberg to Florence… thank you Lufthansa for providing a terrible service. Of course who cares about customers?",False,social,Cv91g41IuH6,3
12,"Lufthansa, my kids are frustrated...how can u let kids suffer? Where's their luggage with their special groceries? They're on a meal plan for Christ sake. Where's their bag with their clothes and learning resources? How can you not attend to our complaints. It's been 11 days! How can you let kids suffer? How?????",False,social,Cv91g41IuH6,0
13,"# lufthansa I have been without my luggage now for a full 7 days. I have a reference number and your customer service is just absolutely terrible. No one is taking responsibility for lost baggage. Every time when I call the customer care line, They read me what the update is which hasn't changed in the past 7 days. Instead of posting new Instagram stories please help your customers who are having current issues.",False,social,Cv91g41IuH6,1
14,"Come on @lufthansa what are you playing at? You used to be a great airline but FRA is carnage this evening, and I still don’t know when I will see my suitcase.",False,social,Cv91g41IuH6,1
15,Cancelled flights with no warning and no compensation. Passengers are left to fend for themselves. By law should we not be given a roof over our heads if @lufthansa are going to cancel flights at the last minute? What is the point asking for contact details if they can’t use them !,False,social,Cv91g41IuH6,4
16,Little help om where is a baggage or suitcase? Delivery agent don't answer,False,social,Cv91g41IuH6,1
17,100 passenger alone in Munich airport,False,social,Cv91g41IuH6,1
18,"I’ve filed several complaints in an attempt to get my money back on necessities I had to purchase after you delayed my luggage for a week. The responses I’ve received have said “given the absence of evidence we are unable to offer any compensation”. I’m not sure what other evidence Id need to submit. I already submitted the receipts for toiletries & necessities I had to buy. I submitted in my complaints photos and screenshots of my texts and email updates from them. Customer service reps are useless. I literally recorded my calls where your representatives just hang up on me, tell me different stories, and make false claims about where my luggage was. After a week of calling multiple times a day I finally got my 3 suitcases. Avoid this airline if you can",False,social,Cv91g41IuH6,4
19,"today after 47 hours of travel and one night sleeping on the floor along with more than 70 other passengers. In a deserted passenger terminal, with not ONE person from Lufthansa to assist us, let alone give us a hotel room.",False,social,Cv91g41IuH6,0
20,Help Lufthansa !!!!,False,social,Cv91g41IuH6,1
21,This is absolutely terrible. I'm still waiting on my luggage for a week now. Just terrible customer service.,False,social,Cv91g41IuH6,1
22,Start flying on time instead of this bs,False,social,Cv91g41IuH6,30
23,bad service 👎👎👎👎👎,False,social,Cv91g41IuH6,6
24,Habe selber genügend homosexuelle Freunde aber langsam nervt es … muss man es immer und überall jedem aufzwingen? Was hat das mit Luftfahrt zu tun? Oder muss man sich erst wieder über den HON Service darüber beschweren das sich mal was ändert?,False,social,Cv91g41IuH6,3
25,I have received horrible customer service from Lufthansa. My bag has been lost ( delayed according to them ) 5 days! You guys have effected my livelihood! There is no system in place other than keep calling the same number where no one has information on the location of my bag. I need this incident escalated! I will no longer be in my location after today and I need the content inside that bag for my next location!,False,social,Cv91g41IuH6,10
26,"Our flight to Yerevan was supposed to take place last night, but the airport did not compensate the damage to the citizens of Armenia, we are with young children in cold and hunger and complete indifference and callousness to us as people ‼️We have been waiting for 2 days ❌I will complain to international bodies against humanity ‼️",False,social,Cv91g41IuH6,4
27,Worst company ever !!!!! Never travel again with them !!!!!! First and last of my life !!!!,False,social,Cv91g41IuH6,1
28,Lufthansa needs to close… #closelufthansa,False,social,Cv91g41IuH6,4
29,help lughtansa munich airport more than 100 passengers lying on the floor as,False,social,Cv91g41IuH6,0
30,Horrible service. Stranded at munich airport with no accommodations!,False,social,Cv91g41IuH6,1
31,As I stated before no one knows the location of my bag. I have called and visited lost and found 5 days straight because the communication is horrible! I am now back home without my things! The bag is not delayed it is gone!,False,social,Cv91g41IuH6,0
32,"The amount of racism I have encountered flying with Lufthansa is absolutely ridiculous, especially in 2023 and after we pay $$$$ to fly. DO BETTER.",False,social,Cv91g41IuH6,13
