ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,SHELL AGAINST THE NATURE IN BRAZIL!!!!,True,social,CphM6CKo9nt,529
2,"Shell, your representative in Brasil is destroying crops and ruining the nature. Will you accept it?",False,social,CphM6CKo9nt,0
3,"Shell, aren’t you going to say anything about what’s happening in Brazil? Your biggest man here is literally destroying our nature!!!!!",False,social,CphM6CKo9nt,193
4,The CEO of Shell in Brazil is destroying nature and seriously damaging the health of people close to his refineries!,False,social,CphM6CKo9nt,55
5,SHELL IS ENDORSING THE DESTRUCTION OF ECOSYSTEMS IN BRAZIL. #STOPHUBENSOMETTO,False,social,CphM6CKo9nt,51
6,"Shell is destroying the nature in Brazil, and his leader in Brazil Ometto has unorthodox relationship with the actual president condemned for corruption several times",False,social,CphM6CKo9nt,62
7,Shell's destroying the nature in Brazil!!,False,social,CphM6CKo9nt,5
8,Shell and Lula + Ometo destroying nature Brazil,False,social,CphM6CKo9nt,4
9,SHELL AGAINST THE NATURE IN BRAZIL!!!!!!!!!! 🔥🔥🔥🔥🔥🔥🔥,False,social,CphM6CKo9nt,6
10,SHELL AND RUBENS OMETTO AGAINST NATURE IN BRAZIL!,False,social,CphM6CKo9nt,12
11,Shell is destroyng the nature in Brasil ?,False,social,CphM6CKo9nt,0
12,Shell Against The Nature In Brazil!!,False,social,CphM6CKo9nt,68
13,Shell is destroying the nature in Brazil,False,social,CphM6CKo9nt,77
14,Shell wtf are you doing in Brazil??? #shellagainstnature,False,social,CphM6CKo9nt,91
15,Rage AGAINST the machine snd Shell AGAINST the Nature in BRAZIL,False,social,CphM6CKo9nt,6
16,Shell os destroying ecology in Brazil,False,social,CphM6CKo9nt,40
17,Shell is destroying nature in brasil #OmettoOut,False,social,CphM6CKo9nt,73
18,SHELL AND RUBENS OMETTO AGAINST NATURE IN BRAZIL!,False,social,CphM6CKo9nt,5
19,"Shell is against the nature, Rubens Ometo, Brazil Shell's CEO is destroing the nature in Brazil",False,social,CphM6CKo9nt,15
20,"#OmettoAgainstTheNature Shell, your representative in Brasil is violating the environmental protection and harming people's health. Do you agree with that?",False,social,CphM6CKo9nt,19
21,Shell against nature in Brazil?,False,social,CphM6CKo9nt,2
22,Verificado,False,social,CphM6CKo9nt,0
23,Verificado,False,social,CphM6CKo9nt,0
24,Oooooooooooooooooooooooo caraaaaaa... #shellagainstnature,False,social,CphM6CKo9nt,17
