ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,d.a.,False,None,CvfCmFyNYA8,0
2,Looove the extreme delivery series! So interesting!,False,None,CvfCmFyNYA8,2
3,is there any possible way i can communicate with you and know why my order wasnt delivered and sent back even though the address was 100% correct? im waiting for my next package and im afraid i wont get it either,False,None,CvfCmFyNYA8,3
4,I need your help DHL. Lost my key in Munich and a DHL driver found it. I already sent you a PM. Please help me ❤️❤️❤️❤️,False,None,CvfCmFyNYA8,1
5,📦❤,False,None,CvfCmFyNYA8,0
6,👏,False,None,CvfCmFyNYA8,1
7,❤️,False,None,CvfCmFyNYA8,1
8,The best!,False,None,CvfCmFyNYA8,2
9,Waoo,False,None,CvfCmFyNYA8,0
10,"Muito top, parabéns",False,None,CvfCmFyNYA8,1
11,Nice,False,None,CvfCmFyNYA8,1
12,Please check pm problem with delivery 🚚,False,None,CvfCmFyNYA8,0
13,"Buonasera, sto provando a programmare un reso da un online shop (che utilizza voi come corriere)dove ho acquistato e non mi rispondono, è possibile programmarlo direttamente con voi? Grazie",False,None,CvfCmFyNYA8,0
14,"Warte seit dem 3.8. auf mein Paket. 1. Zustellversuch am 5.8. scheitert verursacht durch DHL („Abbruch der Zustelltour aufgrund von Krankheit, Unfall, Überschreitung der Arbeitszeit.“) 2. Zustellversuch am 8.8. scheitert verursacht durch DHL, angeblich würde mein Name nicht an der Klingel stehen, absoluter Bull💩). 3. Zustellversuch am 9.8. scheitert verursacht durch DHL („Die Zustellung der Sendung verzögert sich.“)",False,None,CvfCmFyNYA8,0
15,"Great that you are putting in effort to deliver under these circumstances. However, it would be great if parcel would actually be delivered and not just marked as delivered when looking at the shipment tracking it's impossible that the parcel could have been delivered at the time indicated. According to shipment, the parcel was put into the delivery car in the same minute it was delivered to me. In addition, just a few hours earlier it was in a completely different part of Germany and could not have arrived at our region in the time given. And the worst part is that neither I nor the sending company are given more information by @dhl_global than what we already know from the tracking status. Nobody feels responsible to look into what happened. @dhl_global should be able to see exactly who allegedly delivered the package and should be able to see that this person doesn't even work in the region I live in. What @dhl_global is doing is not doing their job and customer support is also not a service they can be proud of! I'm going to try and send packages with our delivery companies in the future!",False,None,CvfCmFyNYA8,3
16,@dhl_global can you give me a job,False,None,CvfCmFyNYA8,1
17,"this company on behalf of DHL is very fraudulent, the goods are not sent even though they have paid in full, the reason is to add more money lol",False,None,CvfCmFyNYA8,1
18,"Personally, I 've had nothing but trouble when it came to deliveries where you had to collect VAT and handling. From packages lost because the notification slip wasn't delivered/in another person's postbox to today, when you put the VAT and handling incorrectly into your system and wanted me to pay double the price upon scanning the parcel. Customer service (phone) was no help whatsoever. This is just the last one of a very long list of problems. Is this how you're doing business? Scamming people out of their money? Either pay or forego you parcel? Pathetic.",False,None,CvfCmFyNYA8,4
19,"Give me back my 3 million, Peru what kind of company are you irresponsible",False,None,CvfCmFyNYA8,0
20,"Sending fraudsters is very unreliable, 3 million have been sent, and in the end they are fraudsters",False,None,CvfCmFyNYA8,1
21,I would like to register a formal complaint against Chelsea Czekeryla. DHL are stating that I have to pay import duties when I have already paid through eBay. Liars. Avoid these clowns.,False,None,CvfCmFyNYA8,1
22,O que é documento retido? Estou esperando minha mercadoria e não chega e não consigo falar com ninguém.,False,None,CvfCmFyNYA8,0
23,"Ich bezahle das Paket, das maxx heute bei mir eintreffen soll, und da ist kein Paket, Spott",False,None,CvfCmFyNYA8,0
24,No responden mis mensajes!!!?,False,None,CvfCmFyNYA8,0
