ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,"I got sent a wrong item that I ordered on prime day and now you guys won’t even send me what I ordered as a replacement. And I just got hung up on by one of your representatives on the phone, what is going on with you guys.",True,Environmental,Cu2D8FBsTVX,4
2,NEW SUSTAINABILITY REPORT JUST DROPPED,False,Environmental,Cu2D8FBsTVX,4
3,so proud of you wynne!,False,Environmental,Cu2D8FBsTVX,4
4,So I received a defective treadmill. I asked for a refund and it said I was getting a gift card. I don’t want a gift card. I want a refund. Amazon is the worst.,False,Environmental,Cu2D8FBsTVX,4
5,AMAZING !! PROUD BESTIE❤️❤️,False,Environmental,Cu2D8FBsTVX,5
6,7 Wo.Gefällt 8 MalAntworten,False,Environmental,Cu2D8FBsTVX,0
7,Incredible boss gal ❤️,False,Environmental,Cu2D8FBsTVX,4
8,This is incredible being that Amazon is such a massive package & delivery hub!! 👏👏,False,Environmental,Cu2D8FBsTVX,6
9,Great to see Amazon's commitment to sustainability!,False,Environmental,Cu2D8FBsTVX,4
10,"Hi, Wynne! 👋🏼🌎🌼",False,Environmental,Cu2D8FBsTVX,4
11,SO AMAZING GO WYNNIE!!!,False,Environmental,Cu2D8FBsTVX,2
12,Incredible work! ♻️💚,False,Environmental,Cu2D8FBsTVX,2
13,The best! @wyynnee,False,Environmental,Cu2D8FBsTVX,2
14,Incredible!!! Go Amazon and go @wyynnee 🥳,False,Environmental,Cu2D8FBsTVX,1
15,"Fiz uma compra com prazo estipulado de 3 dias para entrega no site, com dois itens. O pagamento foi realizado no pix. Os itens não foram entregues, quando entrei em contato, uma atendente, muito da mal educada, me disse que o prazo havia aumentado para mais 3 dias e que não podia cancelar. Após insistir, ela disse que iria cancelar e que só após esse produto voltar a eles ia começar a contar de 3 a 5 dias para a devolução do dinheiro. O pix, entra em 30 minutos para o pagamento, o produto nunca chegou até a mim, vou ter que esperar sei lá quantos dias p ele retornar ao centro mais 3 a 5 dias para ser feito um pix????? Um absurdo. E para piorar, hoje, chega esse item, que tinha pedido para cancelar ontem. E muito irresponsabilidade com o consumidor.",False,Environmental,Cu2D8FBsTVX,3
16,"Great way to highlight key achievements of Amazon’s sustainability journey and your new report! Well done, Amazon",False,Environmental,Cu2D8FBsTVX,3
17,This is good @amazon keep them coming!!! 👏,False,Environmental,Cu2D8FBsTVX,1
18,This is awesome! @wyynnee,False,Environmental,Cu2D8FBsTVX,1
19,@wyynnee love this sm!,False,Environmental,Cu2D8FBsTVX,3
20,So great @wyynnee!!! 🌎,False,Environmental,Cu2D8FBsTVX,1
21,Amazing work! 🌎🧡🌎🧡,False,Environmental,Cu2D8FBsTVX,2
22,LETS GO @wyynnee WE LOVE U,False,Environmental,Cu2D8FBsTVX,2
23,👏👏👏👏👏👏👏👏,False,Environmental,Cu2D8FBsTVX,2
24,👏👏👏👏,False,Environmental,Cu2D8FBsTVX,1
25,"Amazing, @wyynnee !!!",False,Environmental,Cu2D8FBsTVX,1
26,"Worst experience as usual, delivery guy denies for door step delivery and call customer support no help is provided, worst service",False,Environmental,Cu2D8FBsTVX,5
27,👏👏👏,False,Environmental,Cu2D8FBsTVX,1
28,"Amazon, what's going on with you? You promised me compensation due to misleading advertising on an item. No matter how many times I call customer service, I don't receive this compensation. Why do you promise me something and then not deliver? I am really angry! This has been going on since July 6th, and today is July 19th; this can't be true! 😠",False,Environmental,Cu2D8FBsTVX,3
29,"Hola ayuda por favor, me baniaron de forma permenente despues de que llevo 2 años jugando y tengo muchos amigos, como pueden hacerme esto por fabor, necesito ayuda para recuperar mi cuenta:( nombre de personaje es: Dragonil, Servidor Arthetine en Sudamerica. Ayudenme por fabor quiero volver a jugar con mis amigos :( (Lost Ark)",False,Environmental,Cu2D8FBsTVX,2
30,Hello as you may know I'm Jeff bezos I own Amazon and I'll like to do a giveaway,False,Environmental,Cu2D8FBsTVX,2
31,I ordered a gaming mouse from amazon recently but i got a game controller instead and now i want to return it but i cannot for some reason as your so not user friendly app threw me in a loop when i tried to return it and the customer care was so not help full. I tried everything and searched everywhere tot talk to some one and finally got through to some lady who did not know how to resolve my issue and just said i will redirect you to someone else so i agreed and held on line for 30 mins :). Amazon please be a little competent atleast. This is literally my 1st order ever from amazon and i got scammed like this.,False,Environmental,Cu2D8FBsTVX,1
32,"Wow, environment, exquisite",False,Environmental,Cu2D8FBsTVX,0
33,God’s Children are not for sale 🙏🏾 #soundoffreedom Go watch,False,Environmental,Cu2D8FBsTVX,0
34,😍😍,False,Environmental,Cu2D8FBsTVX,0
35,👏❤️❤️❤️❤️,False,Environmental,Cu2D8FBsTVX,0
36,Yaay! 🙌,False,Environmental,Cu2D8FBsTVX,0
37,Severely disappointed,False,Environmental,Cu2D8FBsTVX,0
