ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,#adidasstealfromitsworkers STOP DOING WAGE THEFT #PayYourWorkers #RespectLabourRights,False,None,Cu4Qupou_H0,13
2,PAY until they can't look away #payyourworkers,False,None,Cu4Qupou_H0,8
3,i wish adidas at least stopped using kangaroo leather in their products..,False,None,Cu4Qupou_H0,24
4,Jenna and Messi 🙏🏽👌🏽,False,None,Cu4Qupou_H0,88
5,Stop kangaroo massacre!,False,None,Cu4Qupou_H0,28
6,Jenna and Messi 😍❤❤,False,None,Cu4Qupou_H0,31
7,😍😍😍,False,None,Cu4Qupou_H0,25
8,Jenna and Messi ⚽,False,None,Cu4Qupou_H0,81
9,7 Wo.Gefällt 13 MalAntworten,False,None,Cu4Qupou_H0,0
10,A menos de un día!!! 🤩,False,None,Cu4Qupou_H0,6
11,7 Wo.Gefällt 54 MalAntworten,False,None,Cu4Qupou_H0,0
12,Jenna and Messi the best 💗⚽,False,None,Cu4Qupou_H0,51
13,Jenna loved football from a young age ⚽,False,None,Cu4Qupou_H0,26
14,"Jenna ortega, David Beckham and Lionel messi",False,None,Cu4Qupou_H0,20
15,🔥🔥🔥,False,None,Cu4Qupou_H0,18
16,♥️,False,None,Cu4Qupou_H0,14
17,Jenna ❤❤❤❤❤,False,None,Cu4Qupou_H0,3
18,Love that @adidas but it’s kinda sad that you can’t buy women’s players shirts as a man :( (I just really want a Jule Brand Shirt 🫶🏻),False,None,Cu4Qupou_H0,3
19,👏👏👏,False,None,Cu4Qupou_H0,1
20,"Espero que pongan a la venta las Adidas Samba Celtic y no hagan cómo las del Ajax que la han puesto cuando ya no hay existencias, y siendo miembro del club adidas espero que pueda comprarla.",False,None,Cu4Qupou_H0,1
21,The reason adidas is the best 🔥,False,None,Cu4Qupou_H0,12
22,Jenna 💗,False,None,Cu4Qupou_H0,12
23,Jenna and Messi❤️⚽️,False,None,Cu4Qupou_H0,7
24,😍😍😍,False,None,Cu4Qupou_H0,12
25,"WE WANT YEEZY,!!!!!",False,None,Cu4Qupou_H0,2
26,Messi👀 and jenna🤩,False,None,Cu4Qupou_H0,14
27,JENNA ORTEGA 🤍🤍🤍,False,None,Cu4Qupou_H0,27
28,7 Wo.Gefällt 2 MalAntworten,False,None,Cu4Qupou_H0,0
29,Kangaroos are not shoes !!!!,False,None,Cu4Qupou_H0,4
30,Adidas who is best player?,False,None,Cu4Qupou_H0,0
31,🔥🔥,False,None,Cu4Qupou_H0,2
32,#kangaroosarenotshoes,False,None,Cu4Qupou_H0,2
33,Feel free to check directly,False,None,Cu4Qupou_H0,0
34,Мне одному накрутили что футболисты стали агрессивные?Хотя ты к ним относишься иначе.,False,None,Cu4Qupou_H0,0
35,Jenna is the best,False,None,Cu4Qupou_H0,16
36,😢,False,None,Cu4Qupou_H0,2
37,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,False,None,Cu4Qupou_H0,1
38,"@jennwxzyy o encontro mais esperado ein jenninha, jenna ortega i messi🥶",False,None,Cu4Qupou_H0,1
39,Wow 🔥,False,None,Cu4Qupou_H0,2
40,@co.op.city,False,None,Cu4Qupou_H0,1
41,@adidas #payyourworkers #respectlabourrights,False,None,Cu4Qupou_H0,3
42,3 Wo.Gefällt 1 MalAntworten,False,None,Cu4Qupou_H0,0
43,7 Wo.Gefällt 22 MalAntworten,False,None,Cu4Qupou_H0,0
44,You owe Ye a public apology. Scam artists.,False,None,Cu4Qupou_H0,12
