ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,How can you sleep peacefully at night?,False,None,CwDWI-ZOG5z,4
2,"Public safety??? LOL! Just google ""Inside Exxon’s playbook: How the oil giant works through front groups to head-off regulations on toxic chemicals and plastics""",False,None,CwDWI-ZOG5z,0
3,"you guys have literally predicted climate change and yet you decided to say it's not humankinds fault the climate is changing, decided to maximize profit instead of taking responsibility",False,None,CwDWI-ZOG5z,5
4,Hawaii = blood on your hands. And it’s just the beginning b,False,None,CwDWI-ZOG5z,6
5,"You guys remember ExxonValdez spill? That was a good one. Instead of taking responsibility for that, ExxonMobil fought it in the courts for two decades so they wouldn't have to take responsibility for the massive catastrophic damage to American fisheries and wildlife that they caused. If you think these guys are on your side, you need to come back to reality.",False,None,CwDWI-ZOG5z,7
6,Great 👍,False,None,CwDWI-ZOG5z,3
7,Good work #shill - honor people who are cleaning up your mess - unfortunately they can’t clean up fast enough to handle the mess that fossil fuels continue to make. 🔥,False,None,CwDWI-ZOG5z,4
8,Hold the exxon leadership responsible for misleading the public about climate change,False,None,CwDWI-ZOG5z,0
9,climatic change,False,None,CwDWI-ZOG5z,2
10,❤️❤️❤️,False,None,CwDWI-ZOG5z,2
11,Family Chainsaw,False,None,CwDWI-ZOG5z,1
12,Yay I love exxon ❤️❤️,False,None,CwDWI-ZOG5z,0
13,🙌,False,None,CwDWI-ZOG5z,0
14,"I guess this makes sense in some twisted way. Your products are responsible for climate change > climate change is responsible for intensifying fires that are more frequent > first responders have to go fight them ergo you should support them more, or….you could reduce scope 3 emissions, commit to end production of petroleum products, and transition @exxonmobil to embrace alternative energy sources, but we all know you won’t because profits > planet",False,None,CwDWI-ZOG5z,6
15,💚💚,False,None,CwDWI-ZOG5z,0
16,👍,False,None,CwDWI-ZOG5z,0
17,Please make sure non-emergency services do not interfere in emergency incident management and reporting in crime-related evacuations from sites reported to the NRC. Please detain and process the accused. To prevent permanent involuntary displacement and human trafficking in government acquisitions. Disenfranchising victims and evacuees introduces forced labor into the supply chain.,False,None,CwDWI-ZOG5z,0
18,Hello every single man here am sharon by name if you wanna know me better please send request am ready to mingle ❤️,False,None,CwDWI-ZOG5z,0
19,Embarrassing to be you exxon,False,None,CwDWI-ZOG5z,0
20,"You’re not a tech company, you’re a company that has relied on covering up your own science to continue to drive profit at the expense of our planet…stop lying",False,None,Cv-I9KwySL6,4
21,"The skill set of ExxonMobil employees is unparalleled. The efforts the company puts into developing its worldwide workforce is pacesetting, in any industry. That is why ExxonMobil can continue to be positioned for growth providing sustainable, affordable and reliable energy. Well done yet again ExxonMobil, well done!",False,None,Cv-I9KwySL6,4
22,climatic change,False,None,Cv-I9KwySL6,2
23,need the Stock price above 110 ⛽️⛽️,False,None,Cv-I9KwySL6,2
24,"Seamlessly aligning ambition with action! ExxonMobil's forward-looking approach, backed by remarkable integration and skilled teams, is propelling the world towards a sustainable and net-zero future. Let's keep driving change together!",False,None,Cv-I9KwySL6,0
25,yeah sure,False,None,Cv-I9KwySL6,2
26,No you are not. You are a bunch of vile misanthropic ghouls that trade blood for money… and you want to watch the world burn. Good job. You’ve definitely nailed that one. 🎯,False,None,Cv-I9KwySL6,1
27,"#shill - you did it again - nice inlay of of “zero” while also stating “low”. Which is it, bc it’s cannot be both. ? #Greenwashing 💩",False,None,Cv-I9KwySL6,2
28,"You're a toxins company built on lies, actually",False,None,Cv-I9KwySL6,0
29,"Is Exxon still lying to the public? Exxonknew.org and check out the journalistic work of Amy Westervelt, especially the Drilled podcast. Exxon's a bigger threat to Americans than Russia, China, Iran",True,Environmental,CvxOlygMbRf,8
30,Do you ever think about how you spent millions of dollars and thirty years lying to the world about this? I do.,False,Environmental,CvxOlygMbRf,2
31,#shill - when are you going to stop promoting ☠️? #GreenWashing and marketing lies do nothing.,False,Environmental,CvxOlygMbRf,3
32,"Check out/ search for ""Inside Exxon’s playbook: How the oil giant works through front groups to head-off regulations on toxic chemicals and plastics"" and you will find that Exxon's molecules include PFAS, which cause birth defects and cancer. Exxon is hoping to keep regulation away from PFAS so that the whole world can be poisoned with these toxins so that they can make a quick buck",False,Environmental,CvxOlygMbRf,2
33,Ive Never Seen such a loaded baked potato in my life. #liningup4you,False,Environmental,CvxOlygMbRf,1
34,Real achievable goals that will make a difference in reducing emissions while providing products that improve our quality of life. That is a winning combination.,False,Environmental,CvxOlygMbRf,3
35,4 Wo.Gefällt 3 MalAntworten,False,Environmental,CvxOlygMbRf,0
36,Hydrogen Vehicles Are Future 🔥🔥,False,Environmental,CvxOlygMbRf,1
37,Ad says RR,False,Environmental,CvxOlygMbRf,1
38,👍 👍,False,Environmental,CvxOlygMbRf,1
39,THESE MOLECULES 🙄,False,Environmental,CvxOlygMbRf,1
40,You are modern day colonizers committing mass genocide. You live on this planet too and you will not have a place to hide once companies like yours make it inhabitable here. You are already responsible for TRILLIONS of deaths. How could you possibly live with that?,False,Environmental,CvxOlygMbRf,0
41,✅ Lie and deceive the public about the seriousness of greenhouse gas emissions until civilization is in complete peril ✅ Ensure that oil refineries that health issues for children are near Black and Brown communities so that slow genocide can take place,True,Environmental,CvumWhvRkwx,3
